RowName,ParentTribeA,ParentGenderA,ParentTribeB,ParentGenderB,ChildCharacterID
220,WhiteDeer_Dark,None,WhiteDeer_Dark,None,WhiteDeer_Dark
221,IceSeal_Ground,None,IceSeal_Ground,None,IceSeal_Ground
222,KingSunfish_Thunder,None,KingSunfish_Thunder,None,KingSunfish_Thunder
223,GrassGolem_Dark,None,GrassGolem_Dark,None,GrassGolem_Dark
224,CubeTurtle_Neutral,None,CubeTurtle_Neutral,None,CubeTurtle_Neutral
225,GhostDragon_Fire,None,GhostDragon_Fire,None,GhostDragon_Fire
226,VolcanoDragon_Ice,None,VolcanoDragon_Ice,None,VolcanoDragon_Ice
227,RockBeast_Ice,None,RockBeast_Ice,None,RockBeast_Ice
228,SwordCutlassfish_Fire,None,SwordCutlassfish_Fire,None,SwordCutlassfish_Fire
229,ElecSnail_Ground,None,ElecSnail_Ground,None,ElecSnail_Ground
230,CactusDoll_Dark,None,CactusDoll_Dark,None,CactusDoll_Dark
231,GrassMinotaur_Ice,None,GrassMinotaur_Ice,None,GrassMinotaur_Ice
232,Monkey,None,LavaGirl,None,Monkey_Fire
233,Kirin,None,SnowPeafowl,None,Kirin_Ice
234,ThunderDog,None,IceFox,None,ThunderDog_Ice
235,ThunderBird,None,SnowPeafowl,None,ThunderBird_Ice
236,SweetsSheep,None,SmallArmadillo,None,SweetsSheep_Ground
237,ScorpionMan,None,HadesBird_Electric,None,ScorpionMan_Electric
238,BlackPuppy,None,IceCrocodile,None,BlackPuppy_Ice
239,GhostRabbit,None,FlowerDoll,None,GhostRabbit_Grass
240,NightBlueHorse,None,WhiteDeer,None,NightBlueHorse_Neutral
241,OctopusGirl,None,LongCat,None,OctopusGirl_Neutral
242,WhiteMoth,None,SleeveRabbit,None,WhiteMoth_Neutral
243,WingGolem,None,RedArmorBird,None,WingGolem_Fire
244,FlowerDoll,None,Ronin,None,FlowerDoll_Fire
245,WhiteDeer,None,AmaterasuWolf_Dark,None,WhiteDeer_Dark
246,IceSeal,None,Serpent_Ground,None,IceSeal_Ground
247,KingSunfish,None,ElecLizard,None,KingSunfish_Thunder
248,GrassGolem,None,CandleGhost,None,GrassGolem_Dark
249,CubeTurtle,None,WhiteDeer,None,CubeTurtle_Neutral
250,GhostDragon,None,Suzaku,None,GhostDragon_Fire
251,VolcanoDragon,None,VolcanicMonster_Ice,None,VolcanoDragon_Ice
252,RockBeast,None,Yeti,None,RockBeast_Ice
253,SwordCutlassfish,None,SharkKid_Fire,None,SwordCutlassfish_Fire
254,ElecSnail,None,TentacleTurtle_Ground,None,ElecSnail_Ground
255,CactusDoll,None,BlueberryFairy,None,CactusDoll_Dark
256,GrassMinotaur,None,RockBeast_Ice,None,GrassMinotaur_Ice
257,BlueSkyDragon,None,BlueSkyDragon,None,BlueSkyDragon
258,FlowerPrince,None,FlowerPrince,None,FlowerPrince
259,Mothman,None,Mothman,None,Mothman
